id,Age,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Sleep Duration,Work/Study Hours,Financial Stress,sleep_hours,decision_fatigue_level
687,22,1,0,6.17,4,7-8 hours,10,5,7.5,0
688,28,2,0,8.17,3,Less than 5 hours,7,4,4,2
695,31,5,0,9.87,5,Less than 5 hours,12,2,4,2
696,18,3,0,9.86,4,More than 8 hours,9,2,8.5,0
697,32,2,0,9.21,3,5-6 hours,0,5,5.5,1
701,19,3,0,5.46,4,More than 8 hours,11,5,8.5,0
707,20,5,0,8.96,2,More than 8 hours,1,3,8.5,0
708,28,2,0,7.94,2,5-6 hours,2,5,5.5,1
709,19,2,0,8.58,4,Less than 5 hours,10,4,4,2
710,34,3,0,8.5,1,More than 8 hours,3,1,8.5,0
712,20,3,0,8.74,5,Less than 5 hours,6,2,4,0
713,18,1,0,5.14,5,More than 8 hours,12,2,8.5,0
714,29,3,0,8.75,5,7-8 hours,10,5,7.5,1
716,24,1,0,9.71,4,Less than 5 hours,1,1,4,0
724,33,4,0,7.25,3,5-6 hours,1,5,5.5,2
728,34,1,0,6.16,4,Less than 5 hours,10,4,4,2
733,29,1,0,9.5,2,7-8 hours,9,2,7.5,0
735,27,4,0,7.99,2,5-6 hours,10,2,5.5,2
737,31,3,0,9.86,2,Less than 5 hours,9,1,4,2
744,30,5,0,5.67,3,Less than 5 hours,4,1,4,2
746,31,4,0,8.92,2,Less than 5 hours,8,2,4,2
749,26,2,0,6.19,5,5-6 hours,12,3,5.5,2
750,21,4,0,5.76,1,Less than 5 hours,9,4,4,2
754,34,3,0,5.9,3,Less than 5 hours,3,1,4,0
758,24,1,0,5.74,2,More than 8 hours,11,1,8.5,0
759,21,3,0,8.04,2,5-6 hours,9,3,5.5,2
763,31,5,0,6.25,2,5-6 hours,9,3,5.5,2
764,20,5,0,5.11,4,More than 8 hours,11,5,8.5,0
770,34,4,0,7.94,3,5-6 hours,12,1,5.5,2
774,30,4,0,5.58,5,Less than 5 hours,4,3,4,2
777,30,1,0,5.65,5,7-8 hours,12,4,7.5,0
779,20,5,0,9.72,1,5-6 hours,11,2,5.5,2
781,22,1,0,9.89,1,7-8 hours,12,3,7.5,0
785,18,5,0,5.37,4,More than 8 hours,9,2,8.5,0
793,27,3,0,5.59,4,Less than 5 hours,6,5,4,0
796,26,5,0,5.37,3,7-8 hours,10,2,7.5,0
804,24,5,0,5.7,5,7-8 hours,5,3,7.5,0
811,28,2,0,8.95,4,5-6 hours,2,5,5.5,1
813,24,3,0,8.74,2,7-8 hours,0,4,7.5,1
814,32,1,0,8.03,3,5-6 hours,4,4,5.5,0
821,21,5,0,5.75,1,7-8 hours,11,4,7.5,0
823,19,3,0,6.61,5,7-8 hours,12,1,7.5,1
825,24,2,0,9.41,4,7-8 hours,11,1,7.5,1
831,26,1,0,5.68,4,7-8 hours,8,5,7.5,0
832,20,2,0,8.64,3,More than 8 hours,4,3,8.5,0
836,19,3,0,7.21,5,Less than 5 hours,8,3,4,2
839,32,4,0,7.92,2,More than 8 hours,7,2,8.5,0
843,23,5,0,5.74,2,5-6 hours,2,3,5.5,2
847,23,4,0,8.28,1,Less than 5 hours,10,3,4,2
852,29,3,0,8.59,2,7-8 hours,8,5,7.5,1
854,29,3,0,6.04,4,7-8 hours,8,2,7.5,1
861,27,1,0,9.13,2,7-8 hours,4,4,7.5,0
862,33,5,0,8.08,4,More than 8 hours,9,1,8.5,0
863,33,2,0,8.5,1,More than 8 hours,8,2,8.5,0
875,31,4,0,8.38,5,Less than 5 hours,12,2,4,2
877,25,4,0,9.44,4,7-8 hours,10,5,7.5,0
882,29,1,0,9.96,5,Less than 5 hours,6,4,4,0
897,18,4,0,8.04,4,More than 8 hours,11,4,8.5,0
907,18,1,0,5.12,5,7-8 hours,7,4,7.5,0
910,22,1,0,7.64,3,Less than 5 hours,11,4,4,2
912,24,5,0,8.04,1,5-6 hours,5,4,5.5,2
918,24,3,0,9.44,5,7-8 hours,11,5,7.5,1
923,30,4,0,8.35,5,7-8 hours,11,2,7.5,0
926,33,3,0,7.07,5,5-6 hours,7,1,5.5,2
935,34,1,0,9.6,3,More than 8 hours,8,3,8.5,0
941,32,4,0,6.08,1,7-8 hours,7,1,7.5,0
947,33,2,0,9.54,3,7-8 hours,11,4,7.5,1
949,20,5,0,6.17,2,More than 8 hours,7,5,8.5,0
953,25,2,0,9.95,1,More than 8 hours,10,5,8.5,0
955,24,5,0,9.05,2,7-8 hours,8,4,7.5,0
956,23,4,0,9.24,2,Less than 5 hours,7,2,4,2
965,30,1,0,8.54,3,Less than 5 hours,12,1,4,2
978,39,5,0,6.51,4,7-8 hours,7,2,7.5,0
984,22,1,0,7.25,5,7-8 hours,9,5,7.5,0
991,23,5,0,8.78,1,5-6 hours,6,3,5.5,2
995,31,1,0,9.71,1,More than 8 hours,2,3,8.5,0
997,20,1,0,8.13,1,Less than 5 hours,10,1,4,2
1003,20,2,0,8.93,2,5-6 hours,10,5,5.5,2
1006,32,5,0,9.66,1,5-6 hours,4,4,5.5,2
1012,22,4,0,5.56,2,Less than 5 hours,8,4,4,2
1015,27,3,0,8.91,1,Less than 5 hours,7,1,4,2
1022,18,3,0,6.16,5,7-8 hours,5,4,7.5,1
1029,28,4,0,9.04,2,7-8 hours,2,1,7.5,0
1032,22,3,0,6.83,1,Less than 5 hours,4,5,4,0
1047,20,5,0,7.7,1,7-8 hours,9,3,7.5,0
1049,20,3,0,5.67,2,More than 8 hours,12,5,8.5,0
1054,30,1,0,6.51,3,7-8 hours,7,2,7.5,0
1055,18,1,0,6.21,5,More than 8 hours,6,4,8.5,0
1065,26,4,0,8.28,3,7-8 hours,10,1,7.5,0
1069,34,1,0,9.74,3,More than 8 hours,12,1,8.5,0
1075,20,5,0,9.6,5,7-8 hours,12,3,7.5,0
1079,20,2,0,6.25,3,5-6 hours,2,1,5.5,1
1084,33,3,0,7.1,4,More than 8 hours,6,3,8.5,0
1087,20,3,0,5.85,2,7-8 hours,8,5,7.5,1
1091,28,2,0,9.24,5,7-8 hours,4,4,7.5,1
1093,26,4,0,7.74,1,Less than 5 hours,0,5,4,2
1094,25,3,0,6.41,3,7-8 hours,9,5,7.5,1
1105,28,5,0,7.1,2,7-8 hours,2,2,7.5,0
1108,29,5,0,8.9,3,Less than 5 hours,4,5,4,2
1117,34,3,0,9.6,4,Less than 5 hours,12,3,4,2
1126,29,2,0,5.88,3,Less than 5 hours,0,2,4,0
1130,28,1,0,6.16,3,Less than 5 hours,5,2,4,0
1131,33,1,0,9.72,5,Less than 5 hours,4,5,4,0
1134,18,5,0,6.19,1,7-8 hours,4,2,7.5,0
1148,19,5,0,7.75,1,5-6 hours,10,4,5.5,2
1152,27,3,0,7.88,1,More than 8 hours,10,1,8.5,0
1154,29,1,0,6.83,3,Less than 5 hours,12,1,4,2
1156,18,5,0,5.42,5,7-8 hours,9,2,7.5,0
1158,27,5,0,7.52,5,Less than 5 hours,12,5,4,2
1165,34,2,0,7.68,5,7-8 hours,5,1,7.5,1
1168,19,1,0,5.85,4,7-8 hours,5,5,7.5,0
1170,30,5,0,7.88,3,5-6 hours,1,1,5.5,2
1177,25,3,0,8.4,4,More than 8 hours,1,2,8.5,0
1179,20,5,0,8.95,3,Less than 5 hours,7,1,4,2
1186,20,5,0,8.9,2,Less than 5 hours,6,5,4,2
1187,20,5,0,7.64,1,Less than 5 hours,10,4,4,2
1197,29,2,0,9.39,4,5-6 hours,0,2,5.5,1
1201,24,1,0,6.84,2,Less than 5 hours,7,1,4,2
1213,34,3,0,5.11,2,Less than 5 hours,6,3,4,0
1215,31,2,0,8.04,3,7-8 hours,2,1,7.5,1
1221,23,2,0,8.64,4,Less than 5 hours,1,4,4,0
1222,25,2,0,5.99,1,5-6 hours,11,2,5.5,2
1225,24,4,0,8.59,2,5-6 hours,8,5,5.5,2
1232,25,2,0,9.39,2,5-6 hours,8,1,5.5,2
1240,23,3,0,6.99,1,5-6 hours,7,1,5.5,2
1241,21,5,0,6.83,4,7-8 hours,10,1,7.5,0
1244,22,1,0,7.09,3,5-6 hours,6,1,5.5,0
1252,33,2,0,8.62,4,More than 8 hours,0,2,8.5,0
1254,24,4,0,9.54,2,Less than 5 hours,5,1,4,2
1255,25,4,0,8.53,3,Less than 5 hours,2,1,4,2
1263,33,3,0,7.1,3,Less than 5 hours,4,1,4,0
1275,27,1,0,7.47,1,Less than 5 hours,12,1,4,2
1278,31,3,0,9.93,3,More than 8 hours,12,2,8.5,0
1286,19,5,0,6.78,5,More than 8 hours,7,5,8.5,0
1296,29,4,0,9.59,3,More than 8 hours,11,4,8.5,0
1301,23,3,0,9.93,1,7-8 hours,9,5,7.5,1
1305,25,1,0,7.52,4,Less than 5 hours,0,2,4,0
1307,34,3,0,6.42,2,5-6 hours,4,5,5.5,1
1319,18,5,0,8.35,1,More than 8 hours,12,5,8.5,0
1324,29,2,0,6.08,4,7-8 hours,6,3,7.5,1
1328,25,3,0,7.1,1,Less than 5 hours,11,4,4,2
1329,29,3,0,9.95,4,5-6 hours,10,1,5.5,2
1334,28,3,0,9.74,5,Less than 5 hours,11,2,4,2
1336,31,2,0,9.92,3,5-6 hours,3,1,5.5,1
1347,30,3,0,8.39,3,Less than 5 hours,5,3,4,0
1348,24,5,0,8.96,4,5-6 hours,11,5,5.5,2
1355,26,4,0,8.95,4,5-6 hours,7,4,5.5,2
1360,29,2,0,5.89,2,5-6 hours,10,2,5.5,2
1361,22,3,0,5.76,4,7-8 hours,10,1,7.5,1
1369,31,4,0,6,5,5-6 hours,10,2,5.5,2
1370,29,4,0,5.58,4,Less than 5 hours,4,1,4,2
1373,18,4,0,7.22,5,More than 8 hours,10,2,8.5,0
1379,27,5,0,6.81,2,7-8 hours,10,2,7.5,0
1381,32,3,0,9.02,5,7-8 hours,8,1,7.5,1
1384,30,2,0,8.23,2,More than 8 hours,0,2,8.5,0
1391,26,4,0,9.88,1,5-6 hours,7,2,5.5,2
1393,28,4,0,7.52,1,More than 8 hours,9,4,8.5,0
1396,28,4,0,9.11,4,5-6 hours,7,1,5.5,2
1399,25,2,0,9.54,4,7-8 hours,9,1,7.5,1
1403,33,2,0,8.58,4,Less than 5 hours,9,3,4,2
1411,24,5,0,9.6,4,7-8 hours,8,3,7.5,0
1417,22,2,0,9.54,3,More than 8 hours,10,3,8.5,0
1425,34,1,0,9.97,5,More than 8 hours,0,5,8.5,0
1428,29,3,0,9.63,3,7-8 hours,8,5,7.5,1
1431,32,2,0,8.95,5,Less than 5 hours,5,1,4,0
1432,31,5,0,9.39,5,Less than 5 hours,1,1,4,2
1439,28,2,0,5.7,5,Less than 5 hours,11,4,4,2
1444,30,5,0,7.7,5,5-6 hours,12,2,5.5,2
1450,26,1,0,9.67,3,Less than 5 hours,1,5,4,0
1453,19,4,0,9.41,2,More than 8 hours,12,5,8.5,0
1457,21,5,0,8.35,1,More than 8 hours,12,4,8.5,0
1464,22,4,0,6.78,3,Less than 5 hours,10,2,4,2
1467,23,4,0,6.37,2,Less than 5 hours,11,5,4,2
1472,25,2,0,5.64,1,Less than 5 hours,12,4,4,2
1474,24,3,0,6.99,4,More than 8 hours,9,1,8.5,0
1475,18,3,0,5.41,3,7-8 hours,7,4,7.5,1
1484,19,5,0,6.41,3,Less than 5 hours,10,5,4,2
1488,30,3,0,7.27,3,7-8 hours,12,2,7.5,1
1493,35,5,0,5.32,2,7-8 hours,3,4,7.5,0
1494,20,5,0,5.99,3,7-8 hours,4,5,7.5,0
1498,20,3,0,9.93,2,7-8 hours,2,4,7.5,1
1499,18,5,0,8.7,4,Less than 5 hours,5,1,4,2
1501,18,3,0,8.5,2,More than 8 hours,10,1,8.5,0
1512,30,2,0,9.44,3,5-6 hours,4,2,5.5,1
1513,33,1,0,6.05,3,7-8 hours,7,1,7.5,0
1515,29,5,0,9.6,2,5-6 hours,12,3,5.5,2
1526,28,1,0,8.7,4,Less than 5 hours,7,3,4,2
1528,26,1,0,6.85,4,More than 8 hours,0,1,8.5,0
1529,22,4,0,9.33,4,More than 8 hours,9,2,8.5,0
1535,28,5,0,7.25,4,Less than 5 hours,12,2,4,2
1536,32,4,0,5.81,5,7-8 hours,12,2,7.5,0
1545,31,4,0,8.17,3,7-8 hours,11,4,7.5,0
1565,20,4,0,6.03,3,7-8 hours,4,2,7.5,0
1580,30,5,0,5.56,2,7-8 hours,11,3,7.5,0
1582,27,1,0,6.78,4,Less than 5 hours,2,1,4,0
1586,26,4,0,6.53,3,5-6 hours,6,1,5.5,2
1589,34,3,0,5.12,5,More than 8 hours,9,3,8.5,0
1591,20,2,0,5.74,4,5-6 hours,10,1,5.5,2
1593,22,3,0,6.16,1,Less than 5 hours,5,2,4,0
1600,20,2,0,5.98,3,5-6 hours,2,3,5.5,1
1605,27,3,0,9.05,1,7-8 hours,2,5,7.5,1
1609,25,3,0,6.78,2,Less than 5 hours,12,4,4,2
1616,19,4,0,8.04,3,5-6 hours,10,5,5.5,2
1618,29,5,0,7.38,1,More than 8 hours,10,5,8.5,0
1623,18,3,0,5.85,2,7-8 hours,12,1,7.5,1
1629,21,5,0,8.04,2,Less than 5 hours,3,2,4,2
1632,31,1,0,8.39,5,Less than 5 hours,10,1,4,2
1643,33,4,0,6.02,1,5-6 hours,10,4,5.5,2
1647,33,5,0,6.74,4,7-8 hours,7,5,7.5,0
1655,21,3,0,5.26,1,More than 8 hours,8,5,8.5,0
1657,21,5,0,6.16,1,5-6 hours,8,5,5.5,2
1659,23,4,0,5.75,2,More than 8 hours,4,3,8.5,0
1662,20,4,0,9.11,4,5-6 hours,9,5,5.5,2
1669,20,5,0,8.9,4,7-8 hours,7,5,7.5,0
1675,20,5,0,7.04,4,7-8 hours,12,5,7.5,0
1677,20,5,0,5.74,5,More than 8 hours,4,2,8.5,0
1682,33,4,0,7.72,4,7-8 hours,4,2,7.5,0
1683,29,5,0,5.64,4,Less than 5 hours,6,4,4,2
1686,21,3,0,5.66,4,5-6 hours,6,2,5.5,1
1701,28,4,0,7.09,1,5-6 hours,10,3,5.5,2
1705,25,4,0,7.52,5,More than 8 hours,11,3,8.5,0
1709,22,3,0,8.96,2,5-6 hours,4,2,5.5,1
1746,24,1,0,7.39,3,5-6 hours,3,1,5.5,0
1747,19,1,0,5.6,4,Less than 5 hours,3,3,4,0
1750,32,3,0,5.64,3,7-8 hours,7,5,7.5,1
1756,25,1,0,9.04,4,5-6 hours,10,1,5.5,2
1760,25,5,0,8.04,3,Less than 5 hours,6,4,4,2
1762,21,4,0,8.43,1,7-8 hours,4,2,7.5,0
1769,28,1,0,9.34,2,Less than 5 hours,9,3,4,2
1770,20,3,0,8.78,2,Less than 5 hours,10,4,4,2
1782,26,4,0,5.88,5,More than 8 hours,3,1,8.5,0
1795,19,5,0,6.27,5,5-6 hours,10,5,5.5,2
1801,25,2,0,7.88,3,5-6 hours,9,4,5.5,2
1802,33,3,0,5.44,5,7-8 hours,11,1,7.5,1
1803,20,2,0,8.52,5,Less than 5 hours,10,1,4,2
1809,22,3,0,6.03,3,5-6 hours,7,4,5.5,2
1812,26,2,0,9.6,4,5-6 hours,5,1,5.5,1
1813,20,2,0,8.9,3,5-6 hours,11,2,5.5,2
1822,23,1,0,7.48,3,Less than 5 hours,2,3,4,0
1835,33,1,0,9.39,3,5-6 hours,0,5,5.5,0
1843,20,4,0,7.1,3,5-6 hours,9,3,5.5,2
1848,29,5,0,5.44,3,7-8 hours,11,1,7.5,0
1850,33,1,0,6.37,1,More than 8 hours,8,2,8.5,0
1856,26,1,0,9.5,4,More than 8 hours,7,4,8.5,0
1857,27,1,0,5.82,4,5-6 hours,0,1,5.5,0
1864,34,5,0,5.72,2,7-8 hours,9,1,7.5,0
1871,34,4,0,5.64,4,More than 8 hours,10,1,8.5,0
1876,20,3,0,9.04,2,Less than 5 hours,9,5,4,2
1877,28,5,0,8.19,4,More than 8 hours,11,1,8.5,0
1881,28,3,0,8.44,4,7-8 hours,11,4,7.5,1
1891,23,3,0,5.67,4,7-8 hours,11,1,7.5,1
1895,34,2,0,8.98,4,Less than 5 hours,4,5,4,0
1897,20,3,0,9.44,5,7-8 hours,2,1,7.5,1
1908,25,4,0,5.82,2,5-6 hours,11,1,5.5,2
1911,26,4,0,8.04,3,5-6 hours,6,5,5.5,2
1922,18,3,0,9.37,2,Less than 5 hours,11,4,4,2
1925,24,3,0,5.59,2,7-8 hours,9,4,7.5,1
1928,28,1,0,8.44,2,More than 8 hours,11,3,8.5,0
1930,34,3,0,6.99,5,7-8 hours,8,3,7.5,1
1932,23,3,0,8.44,2,Less than 5 hours,6,2,4,0
1944,27,3,0,6.86,4,5-6 hours,11,2,5.5,2
1952,19,1,0,5.8,2,More than 8 hours,3,2,8.5,0
1960,32,3,0,5.75,4,Less than 5 hours,8,1,4,2
1961,20,1,0,7.92,5,More than 8 hours,11,5,8.5,0
1965,25,3,0,6.78,4,More than 8 hours,9,4,8.5,0
1969,24,5,0,7.28,1,Less than 5 hours,2,4,4,2
1970,22,5,0,7.6,2,Less than 5 hours,5,2,4,2
1985,27,3,0,7.91,2,More than 8 hours,6,5,8.5,0
1988,18,5,0,9.17,3,Less than 5 hours,6,1,4,2
1995,23,1,0,7.46,5,More than 8 hours,9,2,8.5,0
2002,29,5,0,8.9,4,7-8 hours,8,3,7.5,0
2006,18,1,0,9.79,1,7-8 hours,8,2,7.5,0
2007,31,2,0,7.53,3,Less than 5 hours,3,1,4,0
2011,33,5,0,9.39,5,More than 8 hours,9,5,8.5,0
2012,33,4,0,5.37,4,5-6 hours,5,1,5.5,2
2018,34,1,0,9.43,3,Less than 5 hours,9,1,4,2
2024,28,1,0,9.49,4,7-8 hours,0,5,7.5,0
2030,20,4,0,9.91,3,5-6 hours,11,1,5.5,2
2035,25,3,0,7.88,5,7-8 hours,11,2,7.5,1
2039,21,5,0,7.1,5,5-6 hours,1,2,5.5,2
2040,29,5,0,9.36,4,Less than 5 hours,11,5,4,2
2042,33,4,0,5.12,3,Less than 5 hours,10,4,4,2
2045,33,3,0,5.88,3,7-8 hours,2,4,7.5,1
2046,21,1,0,9.96,5,5-6 hours,0,4,5.5,0
2051,29,4,0,5.16,2,7-8 hours,11,2,7.5,0
2060,31,1,0,7.08,1,More than 8 hours,12,3,8.5,0
2063,24,1,0,9.26,4,7-8 hours,6,1,7.5,0
2068,19,5,0,8.83,1,5-6 hours,6,2,5.5,2
2078,25,3,0,10,3,More than 8 hours,10,3,8.5,0
2086,27,2,0,9.39,5,7-8 hours,6,1,7.5,1
2088,31,3,0,9.87,3,7-8 hours,12,5,7.5,1
2097,28,4,0,7.09,1,7-8 hours,1,4,7.5,0
2104,34,3,0,8.04,4,5-6 hours,7,2,5.5,2
2105,31,5,0,6.95,3,Less than 5 hours,8,1,4,2
2108,20,3,0,8.58,1,7-8 hours,9,2,7.5,1
2120,18,4,0,7.28,3,Less than 5 hours,8,5,4,2
2127,20,4,0,6.21,1,7-8 hours,10,4,7.5,0
2140,24,4,0,9.24,3,Less than 5 hours,6,2,4,2
2143,28,3,0,8.59,3,Less than 5 hours,1,2,4,0
2146,19,5,0,5.37,4,Less than 5 hours,3,5,4,2
2147,28,1,0,5.74,1,5-6 hours,8,5,5.5,2
2150,28,1,0,9.86,5,7-8 hours,12,5,7.5,0
2161,28,1,0,9.21,5,Less than 5 hours,8,1,4,2
2171,19,1,0,7.8,2,Less than 5 hours,11,1,4,2
2182,28,2,0,8.35,2,Less than 5 hours,6,1,4,0
2183,21,3,0,9.46,1,Less than 5 hours,5,5,4,0
2198,19,1,0,5.82,4,5-6 hours,10,3,5.5,2
